比尔·盖茨{天蝎座=1, null=1}
米开朗基罗·博那罗蒂{双鱼座=1, null=1}
玛丽·居里{天蝎座=1, null=1}
盖乌斯·尤利乌斯·恺撒{巨蟹座=1, null=1}
周星驰{巨蟹座=1, null=1}
拿破仑·波拿巴{狮子座=1, null=1}
卡尔·马克思{金牛座=1, null=1}
亚伯拉罕·林肯{null=1, 水瓶座=1}
查理·卓别林{白羊座=1, null=1}
李小龙{射手座=1, null=1}
马化腾{天蝎座=1, null=1}
托马斯·阿尔瓦·爱迪生{null=1, 水瓶座=1}
达·芬奇{金牛座=1, null=1}
约翰·洛克菲勒{巨蟹座=1, null=1}
伽利略·伽利雷{null=1, 水瓶座=1}
姚明{null=1, 处女座=1}
